"ons_code","name","mp","percsigned","Remain","polParty","EER17CD","EER17NM","partyColour"
"E14000923","Sheffield, Heeley","Louise Haigh MP",9.94284798632625,42.8,"Labour","E15000003","Yorkshire and The Humber","#DC241f"
"E14000924","Sherwood","Mark Spencer MP",6.536029706945,36.3,"Conservative","E15000004","East Midlands","#0087DC"
"E14000925","Shipley","Philip Davies MP",11.8545816994321,47.8,"Conservative","E15000003","Yorkshire and The Humber","#0087DC"
"E14000926","Shrewsbury and Atcham","Daniel Kawczynski MP",10.9795832258972,47.1,"Conservative","E15000005","West Midlands","#0087DC"
"E14000927","Sittingbourne and Sheppey","Gordon Henderson MP",5.08864409204459,34.6,"Conservative","E15000008","South East","#0087DC"
"E14000928","Skipton and Ripon","Rt Hon Julian Smith MP",11.4351743144209,46.8,"Conservative","E15000003","Yorkshire and The Humber","#0087DC"
"E14000929","Sleaford and North Hykeham","Dr Caroline Johnson MP",7.26272294135009,38.4,"Conservative","E15000004","East Midlands","#0087DC"
"E14000930","Slough","Mr Tanmanjeet Singh Dhesi MP",6.66272946503273,45.9,"Labour","E15000008","South East","#DC241f"
"E14000931","Solihull","Julian Knight MP",9.75968551437684,46.7,"Conservative","E15000005","West Midlands","#0087DC"
"E14000932","Somerton and Frome","David Warburton MP",14.7621612759679,49.7,"Conservative","E15000009","South West","#0087DC"
"E14000933","South Basildon and East Thurrock","Stephen Metcalfe MP",4.47876051713524,27,"Conservative","E15000006","Eastern","#0087DC"
"E14000934","South Cambridgeshire","Heidi Allen MP",22.6992836628186,61.5,"Independent","E15000006","Eastern","#DDDDDD"
"E14000935","South Derbyshire","Mrs Heather Wheeler MP",7.33197556008147,39.6,"Conservative","E15000004","East Midlands","#0087DC"
"E14000936","South Dorset","Richard Drax MP",9.05755470830939,40.6,"Conservative","E15000009","South West","#0087DC"
"E14000937","South East Cambridgeshire","Lucy Frazer MP",17.6579748258274,54.7,"Conservative","E15000006","Eastern","#0087DC"
"E14000938","South East Cornwall","Mrs Sheryll Murray MP",10.1079837139317,44.9,"Conservative","E15000009","South West","#0087DC"
"E14000939","South Holland and The Deepings","Sir John Hayes MP",4.51900429501686,28.9,"Conservative","E15000004","East Midlands","#0087DC"
"E14000940","South Leicestershire","Alberto Costa MP",8.10233769993486,41.9,"Conservative","E15000004","East Midlands","#0087DC"
"E14000941","South Norfolk","Mr Richard Bacon MP",11.7922889892324,49.1,"Conservative","E15000006","Eastern","#0087DC"
"E14000942","South Northamptonshire","Rt Hon Andrea Leadsom MP",11.7028124930631,46.7,"Conservative","E15000004","East Midlands","#0087DC"
"E14000943","South Ribble","Seema Kennedy MP",8.12128046106622,43.4,"Conservative","E15000002","North West","#0087DC"
"E14000944","South Shields","Mrs Emma Lewell-Buck MP",5.02994189934172,37.9,"Labour","E15000001","North East","#DC241f"
"E14000945","South Staffordshire","Rt Hon Gavin Williamson MP",4.78214267909666,34.8,"Conservative","E15000005","West Midlands","#0087DC"
"E14000946","South Suffolk","James Cartlidge MP",10.3396974956608,46,"Conservative","E15000006","Eastern","#0087DC"
"E14000947","South Swindon","Robert Buckland MP",10.2414506048148,48.3,"Conservative","E15000009","South West","#0087DC"
"E14000948","South Thanet","Craig Mackinlay MP",9.5942429562121,38.3,"Conservative","E15000008","South East","#0087DC"
"E14000949","South West Bedfordshire","Andrew Selous MP",9.08334969452689,41.9,"Conservative","E15000006","Eastern","#0087DC"
"E14000950","South West Devon","Sir Gary Streeter MP",10.0710999581765,44.9,"Conservative","E15000009","South West","#0087DC"
"E14000951","South West Hertfordshire","Rt Hon David Gauke MP",16.6678395496129,53.8,"Conservative","E15000006","Eastern","#0087DC"
"E14000952","South West Norfolk","Rt Hon Elizabeth Truss MP",5.81948830610097,33.3,"Conservative","E15000006","Eastern","#0087DC"
"E14000953","South West Surrey","Rt Hon Jeremy Hunt MP",20.0968552538486,59.3,"Conservative","E15000008","South East","#0087DC"
"E14000954","South West Wiltshire","Dr Andrew Murrison MP",10.0289720425901,43.1,"Conservative","E15000009","South West","#0087DC"
"E14000955","Southampton, Itchen","Royston Smith MP",9.07224724867423,39.7,"Conservative","E15000008","South East","#0087DC"
"E14000956","Southampton, Test","Dr Alan Whitehead MP",11.0943775100402,50.6,"Labour","E15000008","South East","#DC241f"
